Motif,RBP
MTF08383,LIN28A
MTF08384,LIN28A
MTF08385,LIN28A
MTF08386,LIN28A
MTF08387,LIN28A
MTF08388,LIN28A
MTF08389,LIN28A
MTF08390,LIN28A
MTF08391,LIN28A
MTF08392,LIN28A
MTF08394,LIN28A
MTF08395,LIN28A
MTF08396,LIN28A
MTF08398,LIN28A
MTF08400,LIN28A
MTF08401,LIN28A
MTF09993,LIN28A
MTF09994,LIN28A
MTF09998,LIN28A
MTF09999,LIN28A
MTF10000,LIN28A
MTF10001,LIN28A
MTF10002,LIN28A
MTF10003,LIN28A
MTF10004,LIN28A
MTF10005,LIN28A
MTF10006,LIN28A
MTF10007,LIN28A
MTF10008,LIN28A
MTF10009,LIN28A
MTF10010,LIN28A
MTF10011,LIN28A
MTF10012,LIN28A
MTF10013,LIN28A
MTF10460,LIN28A
MTF10461,LIN28A
MTF10462,LIN28A
MTF10463,LIN28A
MTF10465,LIN28A
MTF10466,LIN28A
MTF10467,LIN28A
MTF10468,LIN28A
MTF10469,LIN28A
MTF10470,LIN28A
MTF10471,LIN28A
MTF10472,LIN28A
MTF10473,LIN28A
MTF10474,LIN28A
MTF10476,LIN28A
MTF10477,LIN28A
MTF10478,LIN28A
MTF10479,LIN28A
MTF10480,LIN28A
MTF10481,LIN28A
MTF10482,LIN28A
MTF10483,LIN28A
MTF03938,LIN28B
MTF03943,LIN28B
MTF03947,LIN28B
MTF03954,LIN28B
MTF03957,LIN28B
MTF03959,LIN28B
MTF03961,LIN28B
MTF03962,LIN28B
MTF09255,LIN28B
MTF09258,LIN28B
MTF09266,LIN28B
MTF09267,LIN28B
MTF10528,LIN28B
MTF10529,LIN28B
MTF10530,LIN28B
MTF10531,LIN28B
MTF10534,LIN28B
MTF10535,LIN28B
MTF10536,LIN28B
MTF10539,LIN28B
MTF10540,LIN28B
MTF10541,LIN28B
MTF10542,LIN28B
MTF10543,LIN28B
MTF10544,LIN28B
MTF10545,LIN28B
MTF10546,LIN28B
MTF10547,LIN28B
MTF03506,LSM11
MTF03508,LSM11
MTF03511,LSM11
MTF03515,LSM11
MTF03518,LSM11
MTF03520,LSM11
MTF03521,LSM11
MTF03524,LSM11
MTF03525,LSM11
MTF03526,LSM11
MTF03527,LSM11
MTF03528,LSM11
MTF03529,LSM11
MTF03530,LSM11
MTF03531,LSM11
MTF03532,LSM11
MTF03533,LSM11
MTF03534,LSM11
MTF08653,LSM11
MTF08655,LSM11
MTF08656,LSM11
MTF08657,LSM11
MTF08658,LSM11
MTF08659,LSM11
MTF08660,LSM11
MTF08662,LSM11
MTF08665,LSM11
MTF08666,LSM11
MTF08669,LSM11
MTF08670,LSM11
MTF08671,LSM11
MTF08672,LSM11
MTF08673,LSM11
MTF08674,LSM11
MTF08675,LSM11
MTF08676,LSM11
MTF08677,LSM11
MTF08678,LSM11
MTF08679,LSM11
MTF08680,LSM11
MTF08681,LSM11
MTF08682,LSM11
MTF08683,LSM11
MTF03483,MATR3
MTF03486,MATR3
MTF03490,MATR3
MTF03496,MATR3
MTF03498,MATR3
MTF03503,MATR3
MTF03505,MATR3
MTF08625,MATR3
MTF08631,MATR3
MTF08632,MATR3
MTF08635,MATR3
MTF08636,MATR3
MTF08638,MATR3
MTF08642,MATR3
MTF08644,MATR3
MTF08645,MATR3
MTF08648,MATR3
MTF08650,MATR3
MTF00723,MBNL1
MTF00724,MBNL1
MTF00725,MBNL1
MTF00726,MBNL1
MTF00727,MBNL1
MTF00728,MBNL1
MTF00729,MBNL1
MTF00731,MBNL1
MTF00732,MBNL1
MTF00733,MBNL1
MTF00734,MBNL1
MTF00736,MBNL1
MTF00737,MBNL1
MTF00738,MBNL1
MTF00739,MBNL1
MTF00740,MBNL1
MTF00742,MBNL1
MTF00743,MBNL1
MTF05436,MBNL2
MTF05437,MBNL2
MTF05438,MBNL2
MTF05439,MBNL2
MTF05440,MBNL2
MTF05441,MBNL2
MTF05442,MBNL2
MTF05443,MBNL2
MTF05444,MBNL2
MTF05445,MBNL2
MTF05446,MBNL2
MTF05447,MBNL2
MTF05448,MBNL2
MTF05449,MBNL2
MTF05450,MBNL2
MTF05451,MBNL2
MTF05453,MBNL2
MTF05454,MBNL2
MTF05456,MBNL2
MTF05457,MBNL2
MTF05458,MBNL2
MTF05460,MBNL2
MTF05461,MBNL2
MTF05465,MBNL2
MTF05466,MBNL2
MTF05467,MBNL2
MTF05468,MBNL2
MTF05471,MBNL2
MTF05472,MBNL2
MTF05473,MBNL2
MTF05474,MBNL2
MTF01775,METAP2
MTF01780,METAP2
MTF01782,METAP2
MTF01783,METAP2
MTF01786,METAP2
MTF01787,METAP2
MTF01788,METAP2
MTF01789,METAP2
MTF01791,METAP2
MTF01792,METAP2
MTF01793,METAP2
MTF01794,METAP2
MTF01795,METAP2
MTF01796,METAP2
MTF01797,METAP2
MTF01798,METAP2
MTF01799,METAP2
MTF01800,METAP2
MTF06671,METAP2
MTF06672,METAP2
MTF06673,METAP2
MTF06675,METAP2
MTF06676,METAP2
MTF06677,METAP2
MTF06678,METAP2
MTF06679,METAP2
MTF06680,METAP2
MTF06681,METAP2
MTF06682,METAP2
MTF06683,METAP2
MTF06684,METAP2
MTF06685,METAP2
MTF06686,METAP2
MTF06687,METAP2
MTF06689,METAP2
MTF03620,METTL1
MTF03621,METTL1
MTF03622,METTL1
MTF03623,METTL1
MTF03624,METTL1
MTF03625,METTL1
MTF03626,METTL1
MTF03627,METTL1
MTF03628,METTL1
MTF09671,METTL14
MTF09672,METTL14
MTF09673,METTL14
MTF09674,METTL14
MTF09675,METTL14
MTF09676,METTL14
MTF09677,METTL14
MTF09678,METTL14
MTF09679,METTL14
MTF09680,METTL14
MTF09681,METTL14
MTF09682,METTL14
MTF09683,METTL14
MTF09684,METTL14
MTF09685,METTL14
MTF09686,METTL14
MTF09688,METTL14
MTF09689,METTL14
MTF09690,METTL14
MTF09691,METTL14
MTF09692,METTL14
MTF09693,METTL14
MTF09694,METTL14
MTF09695,METTL14
MTF09696,METTL14
MTF09697,METTL14
MTF09698,METTL14
MTF09700,METTL14
MTF09702,METTL14
MTF09703,METTL14
MTF09367,METTL3
MTF09368,METTL3
MTF09369,METTL3
MTF09370,METTL3
MTF09371,METTL3
MTF09373,METTL3
MTF09374,METTL3
MTF09377,METTL3
MTF09378,METTL3
MTF09379,METTL3
MTF09382,METTL3
MTF09383,METTL3
MTF09385,METTL3
MTF09386,METTL3
MTF09387,METTL3
MTF09389,METTL3
MTF09390,METTL3
MTF09391,METTL3
MTF09392,METTL3
MTF09398,METTL3
MTF10548,METTL3
MTF10549,METTL3
MTF10550,METTL3
MTF10551,METTL3
MTF10553,METTL3
MTF10554,METTL3
MTF10555,METTL3
MTF10556,METTL3
MTF10557,METTL3
MTF10558,METTL3
MTF10559,METTL3
MTF10560,METTL3
MTF10561,METTL3
MTF10562,METTL3
MTF10563,METTL3
MTF10564,METTL3
MTF10565,METTL3
MTF10566,METTL3
MTF10567,METTL3
MTF10568,METTL3
MTF10569,METTL3
MTF10570,METTL3
MTF10571,METTL3
MTF10572,METTL3
MTF08752,MKRN1
MTF08762,MKRN1
MTF08763,MKRN1
MTF03894,MORC2
MTF03895,MORC2
MTF03896,MORC2
MTF03898,MORC2
MTF03899,MORC2
MTF03900,MORC2
MTF03901,MORC2
MTF03902,MORC2
MTF03903,MORC2
MTF03904,MORC2
MTF03905,MORC2
MTF03906,MORC2
MTF03909,MORC2
MTF03910,MORC2
MTF04528,MOV10
MTF04530,MOV10
MTF04531,MOV10
MTF04533,MOV10
MTF04534,MOV10
MTF04535,MOV10
MTF04536,MOV10
MTF04537,MOV10
MTF04538,MOV10
MTF04539,MOV10
MTF04540,MOV10
MTF04541,MOV10
MTF04542,MOV10
MTF10123,MOV10
MTF10128,MOV10
MTF10129,MOV10
MTF10130,MOV10
MTF10131,MOV10
MTF10132,MOV10
MTF10133,MOV10
MTF10134,MOV10
MTF10135,MOV10
MTF10136,MOV10
MTF10137,MOV10
MTF10138,MOV10
MTF10139,MOV10
MTF10140,MOV10
MTF10141,MOV10
MTF10142,MOV10
MTF10143,MOV10
MTF10144,MOV10
MTF00054,MTPAP
MTF00055,MTPAP
MTF00056,MTPAP
MTF00057,MTPAP
MTF00060,MTPAP
MTF00061,MTPAP
MTF00062,MTPAP
MTF00064,MTPAP
MTF00066,MTPAP
MTF00067,MTPAP
MTF00068,MTPAP
MTF00069,MTPAP
MTF00070,MTPAP
MTF00071,MTPAP
MTF00072,MTPAP
MTF00073,MTPAP
MTF00074,MTPAP
MTF00075,MTPAP
MTF00076,MTPAP
MTF00078,MTPAP
MTF04573,MTPAP
MTF04576,MTPAP
MTF04577,MTPAP
MTF04578,MTPAP
MTF04579,MTPAP
MTF04580,MTPAP
MTF04581,MTPAP
MTF04582,MTPAP
MTF04583,MTPAP
MTF04584,MTPAP
MTF04585,MTPAP
MTF04586,MTPAP
MTF04587,MTPAP
MTF04588,MTPAP
MTF04590,MTPAP
MTF04593,MTPAP
MTF04595,MTPAP
MTF02656,NCBP2
MTF02665,NCBP2
MTF02667,NCBP2
MTF02668,NCBP2
MTF02669,NCBP2
MTF02671,NCBP2
MTF02672,NCBP2
MTF02673,NCBP2
MTF02674,NCBP2
MTF02675,NCBP2
MTF02676,NCBP2
MTF02679,NCBP2
MTF02680,NCBP2
MTF02681,NCBP2
MTF02682,NCBP2
MTF07586,NCBP2
MTF07587,NCBP2
MTF07588,NCBP2
MTF07589,NCBP2
MTF07590,NCBP2
MTF07591,NCBP2
MTF07592,NCBP2
MTF07594,NCBP2
MTF07596,NCBP2
MTF07598,NCBP2
MTF07599,NCBP2
MTF07600,NCBP2
MTF07601,NCBP2
MTF07604,NCBP2
MTF07605,NCBP2
MTF07606,NCBP2
MTF07607,NCBP2
MTF07608,NCBP2
MTF07609,NCBP2
MTF07610,NCBP2
MTF07612,NCBP2
MTF06118,NCBP3
MTF06119,NCBP3
MTF06122,NCBP3
MTF06123,NCBP3
MTF06124,NCBP3
MTF06125,NCBP3
MTF06126,NCBP3
MTF06127,NCBP3
MTF06128,NCBP3
MTF06129,NCBP3
MTF06131,NCBP3
MTF06132,NCBP3
MTF06133,NCBP3
MTF06134,NCBP3
MTF06135,NCBP3
MTF06136,NCBP3
MTF10252,NCBP3
MTF10254,NCBP3
MTF10255,NCBP3
MTF10256,NCBP3
MTF10257,NCBP3
MTF02143,NIP7
MTF02147,NIP7
MTF02149,NIP7
MTF02150,NIP7
MTF02151,NIP7
MTF02152,NIP7
MTF02153,NIP7
MTF02155,NIP7
MTF02157,NIP7
MTF02158,NIP7
MTF02159,NIP7
MTF02160,NIP7
MTF07043,NIP7
MTF07044,NIP7
MTF07045,NIP7
MTF07046,NIP7
MTF07047,NIP7
MTF07049,NIP7
MTF07050,NIP7
MTF07052,NIP7
MTF07053,NIP7
MTF07054,NIP7
MTF07055,NIP7
MTF07056,NIP7
MTF07057,NIP7
MTF07058,NIP7
MTF07060,NIP7
MTF07062,NIP7
MTF07063,NIP7
MTF07064,NIP7
MTF03000,NIPBL
MTF03003,NIPBL
MTF03005,NIPBL
MTF03006,NIPBL
MTF03007,NIPBL
MTF03008,NIPBL
MTF03009,NIPBL
MTF03011,NIPBL
MTF03013,NIPBL
MTF03014,NIPBL
MTF03015,NIPBL
MTF03016,NIPBL
MTF03017,NIPBL
MTF03018,NIPBL
MTF03019,NIPBL
MTF03020,NIPBL
MTF03021,NIPBL
MTF03022,NIPBL
MTF03023,NIPBL
MTF03024,NIPBL
MTF03025,NIPBL
MTF03026,NIPBL
MTF03027,NIPBL
MTF07966,NIPBL
MTF07967,NIPBL
MTF07968,NIPBL
MTF07970,NIPBL
MTF07971,NIPBL
MTF07972,NIPBL
MTF07973,NIPBL
MTF07978,NIPBL
MTF07979,NIPBL
MTF07980,NIPBL
MTF07983,NIPBL
MTF07984,NIPBL
MTF07985,NIPBL
MTF07986,NIPBL
MTF07987,NIPBL
MTF07988,NIPBL
MTF07989,NIPBL
MTF07991,NIPBL
MTF03798,NKRF
MTF03799,NKRF
MTF03800,NKRF
MTF03801,NKRF
MTF03802,NKRF
MTF03803,NKRF
MTF03806,NKRF
MTF03807,NKRF
MTF03808,NKRF
MTF03809,NKRF
MTF03810,NKRF
MTF03811,NKRF
MTF03812,NKRF
MTF03816,NKRF
MTF03817,NKRF
MTF03818,NKRF
MTF03821,NKRF
MTF03822,NKRF
MTF03823,NKRF
MTF03825,NKRF
MTF09043,NKRF
MTF09045,NKRF
MTF09046,NKRF
MTF09047,NKRF
MTF09049,NKRF
MTF09050,NKRF
MTF09051,NKRF
MTF09052,NKRF
MTF09053,NKRF
MTF09054,NKRF
MTF09055,NKRF
MTF09056,NKRF
MTF09057,NKRF
MTF09058,NKRF
MTF09059,NKRF
MTF09060,NKRF
MTF09061,NKRF
MTF09062,NKRF
MTF09064,NKRF
MTF09065,NKRF
MTF01896,NOL12
MTF01900,NOL12
MTF01902,NOL12
MTF01903,NOL12
MTF01904,NOL12
MTF01905,NOL12
MTF01907,NOL12
MTF01908,NOL12
MTF01909,NOL12
MTF01910,NOL12
MTF01911,NOL12
MTF01912,NOL12
MTF01913,NOL12
MTF01914,NOL12
MTF01915,NOL12
MTF01916,NOL12
MTF06767,NOL12
MTF06768,NOL12
MTF06770,NOL12
MTF06771,NOL12
MTF06773,NOL12
MTF06775,NOL12
MTF06776,NOL12
MTF06777,NOL12
MTF06779,NOL12
MTF06780,NOL12
MTF03247,NOLC1
MTF03250,NOLC1
MTF03254,NOLC1
MTF03255,NOLC1
MTF03256,NOLC1
MTF03257,NOLC1
MTF03258,NOLC1
MTF03259,NOLC1
MTF03260,NOLC1
MTF03262,NOLC1
MTF03263,NOLC1
MTF03265,NOLC1
MTF03266,NOLC1
MTF03267,NOLC1
MTF03268,NOLC1
MTF03269,NOLC1
MTF03270,NOLC1
MTF03271,NOLC1
MTF03272,NOLC1
MTF03273,NOLC1
MTF03274,NOLC1
MTF03275,NOLC1
MTF08301,NOLC1
MTF08302,NOLC1
MTF08303,NOLC1
MTF08304,NOLC1
MTF08305,NOLC1
MTF08309,NOLC1
MTF08310,NOLC1
MTF08314,NOLC1
MTF08315,NOLC1
MTF08316,NOLC1
MTF08317,NOLC1
MTF08318,NOLC1
MTF08319,NOLC1
MTF08321,NOLC1
MTF08322,NOLC1
MTF08323,NOLC1
MTF08324,NOLC1
MTF08325,NOLC1
MTF08327,NOLC1
MTF01656,NONO
MTF01661,NONO
MTF01663,NONO
MTF01664,NONO
MTF01666,NONO
MTF01667,NONO
MTF01669,NONO
MTF01671,NONO
MTF01672,NONO
MTF01673,NONO
MTF01674,NONO
MTF01676,NONO
MTF01677,NONO
MTF01678,NONO
MTF01679,NONO
MTF01680,NONO
MTF01681,NONO
MTF01682,NONO
MTF06501,NONO
MTF06503,NONO
MTF06504,NONO
MTF06507,NONO
MTF06509,NONO
MTF06510,NONO
MTF06511,NONO
MTF06512,NONO
MTF06513,NONO
MTF06514,NONO
MTF06515,NONO
MTF06516,NONO
MTF06517,NONO
MTF06518,NONO
MTF06519,NONO
MTF05944,NOP56
MTF05948,NOP56
MTF05949,NOP56
MTF05950,NOP56
MTF05951,NOP56
MTF05952,NOP56
MTF05955,NOP56
MTF05957,NOP56
MTF05958,NOP56
MTF05959,NOP56
MTF05960,NOP56
MTF05961,NOP56
MTF05963,NOP56
MTF05964,NOP56
MTF05965,NOP56
MTF05966,NOP56
MTF05967,NOP56
MTF05969,NOP56
MTF06210,NOP58
MTF06211,NOP58
MTF06214,NOP58
MTF06215,NOP58
MTF06216,NOP58
MTF06218,NOP58
MTF06219,NOP58
MTF06220,NOP58
MTF06221,NOP58
MTF06222,NOP58
MTF06223,NOP58
MTF06224,NOP58
MTF06226,NOP58
MTF06227,NOP58
MTF06228,NOP58
MTF06229,NOP58
MTF06230,NOP58
MTF06232,NOP58
MTF06233,NOP58
MTF00794,NPM1
MTF00795,NPM1
MTF00799,NPM1
MTF00800,NPM1
MTF00801,NPM1
MTF00802,NPM1
MTF00803,NPM1
MTF00804,NPM1
MTF00805,NPM1
MTF00806,NPM1
MTF00807,NPM1
MTF00808,NPM1
MTF00809,NPM1
MTF00810,NPM1
MTF00811,NPM1
MTF00812,NPM1
MTF00813,NPM1
MTF00815,NPM1
MTF00816,NPM1
MTF00818,NPM1
MTF00819,NPM1
MTF05475,NPM1
MTF05477,NPM1
MTF05478,NPM1
MTF05479,NPM1
MTF05480,NPM1
MTF05481,NPM1
MTF05482,NPM1
MTF05485,NPM1
MTF05486,NPM1
MTF02356,NSUN2
MTF02357,NSUN2
MTF02358,NSUN2
MTF02359,NSUN2
MTF02360,NSUN2
MTF02361,NSUN2
MTF02362,NSUN2
MTF02363,NSUN2
MTF02364,NSUN2
MTF02365,NSUN2
MTF02366,NSUN2
MTF02367,NSUN2
MTF02368,NSUN2
MTF02369,NSUN2
MTF02370,NSUN2
MTF02371,NSUN2
MTF02372,NSUN2
MTF02373,NSUN2
MTF02374,NSUN2
MTF02375,NSUN2
MTF02376,NSUN2
MTF02377,NSUN2
MTF02378,NSUN2
MTF02380,NSUN2
MTF02381,NSUN2
MTF02382,NSUN2
MTF02383,NSUN2
MTF02385,NSUN2
MTF07330,NSUN2
MTF07331,NSUN2
MTF07332,NSUN2
MTF07334,NSUN2
MTF07335,NSUN2
MTF07336,NSUN2
MTF07337,NSUN2
MTF07338,NSUN2
MTF07339,NSUN2
MTF07340,NSUN2
MTF07341,NSUN2
MTF07343,NSUN2
MTF07344,NSUN2
MTF07345,NSUN2
MTF09194,NUDT16L1
MTF09195,NUDT16L1
MTF09077,NUDT21
MTF09079,NUDT21
MTF09080,NUDT21
MTF09082,NUDT21
MTF09083,NUDT21
MTF09084,NUDT21
MTF09085,NUDT21
MTF09087,NUDT21
MTF09088,NUDT21
MTF09089,NUDT21
MTF09090,NUDT21
MTF09091,NUDT21
MTF09092,NUDT21
MTF09093,NUDT21
MTF09094,NUDT21
MTF09095,NUDT21
MTF09096,NUDT21
MTF09097,NUDT21
MTF02165,PABPC4
MTF02167,PABPC4
MTF02171,PABPC4
MTF02172,PABPC4
MTF02173,PABPC4
MTF02174,PABPC4
MTF02176,PABPC4
MTF02177,PABPC4
MTF02178,PABPC4
MTF02179,PABPC4
MTF02180,PABPC4
MTF02181,PABPC4
MTF02183,PABPC4
MTF02185,PABPC4
MTF02186,PABPC4
MTF02187,PABPC4
MTF07066,PABPC4
MTF07067,PABPC4
MTF07068,PABPC4
MTF07069,PABPC4
MTF07070,PABPC4
MTF07073,PABPC4
MTF07076,PABPC4
MTF07077,PABPC4
MTF07078,PABPC4
MTF07079,PABPC4
MTF07080,PABPC4
MTF07081,PABPC4
MTF07082,PABPC4
MTF07083,PABPC4
MTF07084,PABPC4
MTF07085,PABPC4
MTF07086,PABPC4
MTF07089,PABPC4
MTF07090,PABPC4
MTF07091,PABPC4
MTF07092,PABPC4
MTF04201,PABPN1
MTF04203,PABPN1
MTF04205,PABPN1
MTF04207,PABPN1
MTF04208,PABPN1
MTF04209,PABPN1
MTF04212,PABPN1
MTF04213,PABPN1
MTF04214,PABPN1
MTF04216,PABPN1
MTF04217,PABPN1
MTF04219,PABPN1
MTF04220,PABPN1
MTF04221,PABPN1
MTF04222,PABPN1
MTF04223,PABPN1
MTF04224,PABPN1
MTF04225,PABPN1
MTF04226,PABPN1
MTF04227,PABPN1
MTF04228,PABPN1
MTF09512,PABPN1
MTF09513,PABPN1
MTF09514,PABPN1
MTF09515,PABPN1
MTF09517,PABPN1
MTF09519,PABPN1
MTF09520,PABPN1
MTF09521,PABPN1
MTF09523,PABPN1
MTF09524,PABPN1
MTF09525,PABPN1
MTF09527,PABPN1
MTF09529,PABPN1
MTF09530,PABPN1
MTF09531,PABPN1
MTF09532,PABPN1
MTF09533,PABPN1
MTF09534,PABPN1
MTF09535,PABPN1
MTF04349,PCBP1
MTF04351,PCBP1
MTF04352,PCBP1
MTF04353,PCBP1
MTF04354,PCBP1
MTF04356,PCBP1
MTF04357,PCBP1
MTF04358,PCBP1
MTF04359,PCBP1
MTF04360,PCBP1
MTF04361,PCBP1
MTF04362,PCBP1
MTF04363,PCBP1
MTF04364,PCBP1
MTF04366,PCBP1
MTF04367,PCBP1
MTF04368,PCBP1
MTF04369,PCBP1
MTF04371,PCBP1
MTF04372,PCBP1
MTF09704,PCBP1
MTF09706,PCBP1
MTF09707,PCBP1
MTF09708,PCBP1
MTF09709,PCBP1
MTF09711,PCBP1
MTF09712,PCBP1
MTF09713,PCBP1
MTF09714,PCBP1
MTF09715,PCBP1
MTF09716,PCBP1
MTF09717,PCBP1
MTF09718,PCBP1
MTF09719,PCBP1
MTF09720,PCBP1
MTF09721,PCBP1
MTF09722,PCBP1
MTF09723,PCBP1
MTF09724,PCBP1
MTF09725,PCBP1
MTF02950,PCBP2
MTF02952,PCBP2
MTF02953,PCBP2
MTF02954,PCBP2
MTF02957,PCBP2
MTF02959,PCBP2
MTF02960,PCBP2
MTF02962,PCBP2
MTF02963,PCBP2
MTF02964,PCBP2
MTF02965,PCBP2
MTF02966,PCBP2
MTF02967,PCBP2
MTF02968,PCBP2
MTF02969,PCBP2
MTF02970,PCBP2
MTF02971,PCBP2
MTF02972,PCBP2
MTF02973,PCBP2
MTF02975,PCBP2
MTF02976,PCBP2
MTF07854,PCBP2
MTF07856,PCBP2
MTF07857,PCBP2
MTF07858,PCBP2
MTF07859,PCBP2
MTF07860,PCBP2
MTF07861,PCBP2
MTF07862,PCBP2
MTF07863,PCBP2
MTF07864,PCBP2
MTF07865,PCBP2
MTF07866,PCBP2
MTF07867,PCBP2
MTF07868,PCBP2
MTF07869,PCBP2
MTF07870,PCBP2
MTF07871,PCBP2
MTF07872,PCBP2
MTF07873,PCBP2
MTF07874,PCBP2
MTF07875,PCBP2
MTF01206,PHF6
MTF01207,PHF6
MTF01208,PHF6
MTF01209,PHF6
MTF01211,PHF6
MTF01213,PHF6
MTF01214,PHF6
MTF01215,PHF6
MTF01216,PHF6
MTF01217,PHF6
MTF01218,PHF6
MTF01219,PHF6
MTF01220,PHF6
MTF01221,PHF6
MTF01223,PHF6
MTF05889,PHF6
MTF05890,PHF6
MTF05891,PHF6
MTF05892,PHF6
MTF05894,PHF6
MTF05896,PHF6
MTF05897,PHF6
MTF05899,PHF6
MTF05901,PHF6
MTF05902,PHF6
MTF05903,PHF6
MTF05904,PHF6
MTF05905,PHF6
MTF05906,PHF6
MTF05907,PHF6
MTF05910,PHF6
MTF05911,PHF6
MTF05912,PHF6
MTF05913,PHF6
MTF05914,PHF6
MTF02469,POLR2G
MTF02470,POLR2G
MTF02471,POLR2G
MTF02472,POLR2G
MTF02473,POLR2G
MTF02475,POLR2G
MTF02476,POLR2G
MTF02477,POLR2G
MTF02478,POLR2G
MTF02479,POLR2G
MTF02480,POLR2G
MTF02481,POLR2G
MTF02482,POLR2G
MTF02483,POLR2G
MTF02484,POLR2G
MTF02485,POLR2G
MTF02487,POLR2G
MTF02488,POLR2G
MTF02489,POLR2G
MTF07445,POLR2G
MTF07446,POLR2G
MTF07447,POLR2G
MTF07448,POLR2G
MTF07449,POLR2G
MTF07450,POLR2G
MTF07451,POLR2G
MTF07452,POLR2G
MTF07453,POLR2G
MTF07454,POLR2G
MTF07455,POLR2G
MTF07456,POLR2G
MTF03335,PPIG
MTF03338,PPIG
MTF03340,PPIG
MTF03343,PPIG
MTF03344,PPIG
MTF03348,PPIG
MTF03349,PPIG
MTF03350,PPIG
MTF03351,PPIG
MTF03352,PPIG
MTF03353,PPIG
MTF03354,PPIG
MTF08446,PPIG
MTF08453,PPIG
MTF08454,PPIG
MTF08456,PPIG
MTF08457,PPIG
MTF08458,PPIG
MTF08459,PPIG
MTF08460,PPIG
MTF08461,PPIG
MTF08462,PPIG
MTF08463,PPIG
MTF08464,PPIG
MTF08465,PPIG
MTF08466,PPIG
MTF08467,PPIG
MTF08468,PPIG
MTF08469,PPIG
MTF08470,PPIG
MTF08471,PPIG
MTF08472,PPIG
MTF01748,PPIL4
MTF01749,PPIL4
MTF01751,PPIL4
MTF01757,PPIL4
MTF01758,PPIL4
MTF01759,PPIL4
MTF01760,PPIL4
MTF01761,PPIL4
MTF01762,PPIL4
MTF01763,PPIL4
MTF01764,PPIL4
MTF01766,PPIL4
MTF01767,PPIL4
MTF01768,PPIL4
MTF01769,PPIL4
MTF01770,PPIL4
MTF01771,PPIL4
MTF01772,PPIL4
MTF06643,PPIL4
MTF06644,PPIL4
MTF06645,PPIL4
MTF06646,PPIL4
MTF06647,PPIL4
MTF06648,PPIL4
MTF06649,PPIL4
MTF06650,PPIL4
MTF06651,PPIL4
MTF06652,PPIL4
MTF06653,PPIL4
MTF06654,PPIL4
MTF06655,PPIL4
MTF06657,PPIL4
MTF06658,PPIL4
MTF06659,PPIL4
MTF06660,PPIL4
MTF06661,PPIL4
MTF06663,PPIL4
MTF06664,PPIL4
MTF06666,PPIL4
MTF04909,PRKRA
MTF04910,PRKRA
MTF04911,PRKRA
MTF04912,PRKRA
MTF04913,PRKRA
MTF04914,PRKRA
MTF04916,PRKRA
MTF04917,PRKRA
MTF04918,PRKRA
MTF04919,PRKRA
MTF04920,PRKRA
MTF04921,PRKRA
MTF04922,PRKRA
MTF04923,PRKRA
MTF04924,PRKRA
MTF04925,PRKRA
MTF04926,PRKRA
MTF04927,PRKRA
MTF04928,PRKRA
MTF04929,PRKRA
MTF04930,PRKRA
MTF04931,PRKRA
MTF04932,PRKRA
MTF04934,PRKRA
MTF04935,PRKRA
MTF04937,PRKRA
MTF03717,PRPF4
MTF03718,PRPF4
MTF03721,PRPF4
MTF03724,PRPF4
MTF03726,PRPF4
MTF03727,PRPF4
MTF03729,PRPF4
MTF03731,PRPF4
MTF03733,PRPF4
MTF03734,PRPF4
MTF03735,PRPF4
MTF03736,PRPF4
MTF03737,PRPF4
MTF03738,PRPF4
MTF03739,PRPF4
MTF03740,PRPF4
MTF03741,PRPF4
MTF03742,PRPF4
MTF03743,PRPF4
MTF08969,PRPF4
MTF08970,PRPF4
MTF08971,PRPF4
MTF08976,PRPF4
MTF08978,PRPF4
MTF08979,PRPF4
MTF08980,PRPF4
MTF08981,PRPF4
MTF08982,PRPF4
MTF08983,PRPF4
MTF08984,PRPF4
MTF08985,PRPF4
MTF08986,PRPF4
MTF08987,PRPF4
MTF08988,PRPF4
MTF08990,PRPF4
MTF08991,PRPF4
MTF08992,PRPF4
MTF08993,PRPF4
MTF03777,PRPF8
MTF03778,PRPF8
MTF03779,PRPF8
MTF03780,PRPF8
MTF03782,PRPF8
MTF03783,PRPF8
MTF03784,PRPF8
MTF03788,PRPF8
MTF03789,PRPF8
MTF03790,PRPF8
MTF03791,PRPF8
MTF03793,PRPF8
MTF03794,PRPF8
MTF03797,PRPF8
MTF09014,PRPF8
MTF09015,PRPF8
MTF09016,PRPF8
MTF09017,PRPF8
MTF09018,PRPF8
MTF09019,PRPF8
MTF09020,PRPF8
MTF09021,PRPF8
MTF09025,PRPF8
MTF09027,PRPF8
MTF09029,PRPF8
MTF09030,PRPF8
MTF09032,PRPF8
MTF09033,PRPF8
MTF09034,PRPF8
MTF09035,PRPF8
MTF09036,PRPF8
MTF09037,PRPF8
MTF09038,PRPF8
MTF09039,PRPF8
MTF09040,PRPF8
MTF03216,PTBP1
MTF03219,PTBP1
MTF03220,PTBP1
MTF03227,PTBP1
MTF03228,PTBP1
MTF03230,PTBP1
MTF03233,PTBP1
MTF03234,PTBP1
MTF03238,PTBP1
MTF03239,PTBP1
MTF03241,PTBP1
MTF02900,PUM1
MTF02901,PUM1
MTF02902,PUM1
MTF02905,PUM1
MTF02906,PUM1
MTF02908,PUM1
MTF02909,PUM1
MTF02910,PUM1
MTF02911,PUM1
